No.,Time,Source,Destination,Protocol,Length,Info,,,,TIME 1 ,TIME 2,DELAY ,delay 2,delay 1,jitter
94,57.303538,192.168.100.41,20.189.73.166,TCP,54,52961  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0,,,,,,,,,
95,57.36332,192.168.100.41,20.189.73.166,TLSv1.2,273,Client Hello,,,,,,,,,
96,57.363711,20.189.73.166,192.168.100.41,TCP,1466,443  >  52961 [ACK] Seq=1 Ack=220 Win=524800 Len=1412 [TCP segment of a reassembled PDU],,,,,,,,,
97,57.363711,20.189.73.166,192.168.100.41,TCP,1466,443  >  52961 [ACK] Seq=1413 Ack=220 Win=524800 Len=1412 [TCP segment of a reassembled PDU],,,,,,,,,
98,57.363921,20.189.73.166,192.168.100.41,TLSv1.2,1082,"Server Hello, Certificate, Server Key Exchange, Server Hello Done",,,,,,,,,
99,57.38099,192.168.100.41,20.189.73.166,TCP,54,52961  >  443 [ACK] Seq=220 Ack=3853 Win=131072 Len=0,,,,,,,,,
100,57.439957,192.168.100.41,20.189.73.166,TLSv1.2,212,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message",,,,,,,,,
101,57.440325,20.189.73.166,192.168.100.41,TLSv1.2,105,"Change Cipher Spec, Encrypted Handshake Message",,,,,,,,,
102,57.440473,20.189.73.166,192.168.100.41,TLSv1.2,123,Application Data,,,,,,,,,
103,57.442903,192.168.100.41,20.189.73.166,TCP,54,52961  >  443 [ACK] Seq=378 Ack=3973 Win=131072 Len=0,,,,,,,,,
104,57.443307,192.168.100.41,20.189.73.166,TLSv1.2,141,Application Data,,,,,,,,,
105,57.4437,192.168.100.41,20.189.73.166,TLSv1.2,336,Application Data,,,,,,,,,
106,57.443956,192.168.100.41,20.189.73.166,TLSv1.2,92,Application Data,,,,,,,,,
107,57.501128,192.168.100.41,20.189.73.166,TLSv1.2,1361,Application Data,,,,,,,,,
108,57.501869,20.189.73.166,192.168.100.41,TLSv1.2,92,Application Data,,,,,,,,,
109,57.502336,20.189.73.166,192.168.100.41,TCP,56,443  >  52961 [ACK] Seq=4011 Ack=785 Win=524288 Len=0,,,,,,,,,
110,57.502336,20.189.73.166,192.168.100.41,TCP,56,443  >  52961 [ACK] Seq=4011 Ack=2092 Win=525056 Len=0,,,,,,,,,
111,57.502551,20.189.73.166,192.168.100.41,TLSv1.2,96,Application Data,,,,,,,,,
112,57.507661,192.168.100.41,20.189.73.166,TCP,54,52961  >  443 [ACK] Seq=2092 Ack=4053 Win=131072 Len=0,,,,,,,,,
113,57.513715,20.189.73.166,192.168.100.41,TLSv1.2,1461,Application Data,,,,,,,,,
114,57.571013,192.168.100.41,20.189.73.166,TCP,54,"52961  >  443 [FIN, ACK] Seq=2092 Ack=5460 Win=131072 Len=0",,,,,,,,,
115,57.571203,20.189.73.166,192.168.100.41,TLSv1.2,96,Application Data,,,,,,,,,
116,57.571416,192.168.100.41,20.189.73.166,TCP,54,"52961  >  443 [RST, ACK] Seq=2093 Ack=5502 Win=0 Len=0",,,,,,,,,
117,60.150263,20.189.73.166,192.168.100.41,TCP,54,"443  >  52961 [FIN, ACK] Seq=5502 Ack=2093 Win=525056 Len=0",,,,,,,,,
118,60.151503,192.168.100.41,93.184.216.34,TCP,66,52962  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,
119,60.151689,40.90.189.152,192.168.100.41,TCP,54,[TCP Dup ACK 2#2] 443  >  58153 [ACK] Seq=1 Ack=1 Win=12061 Len=0,,,,,,,,,
120,60.154708,192.168.100.41,40.90.189.152,TCP,54,[TCP Dup ACK 3#2] [TCP ACKed unseen segment] 58153  >  443 [ACK] Seq=179943468 Ack=1297691774 Win=509 Len=0,,,,,,,,,
121,60.155024,93.184.216.34,192.168.100.41,TCP,62,"80  >  52962 [SYN, ACK] Seq=0 Ack=1 Win=4236 Len=0 MSS=1412 SACK_PERM=1",,,,,,,,,
122,60.155705,192.168.100.41,93.184.216.34,TCP,54,52962  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0,,,,,,,,,
123,60.15857,192.168.100.41,93.184.216.34,TCP,54,"52962  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0",,,,,,,,,
124,60.158884,93.184.216.34,192.168.100.41,TCP,54,80  >  52962 [ACK] Seq=1 Ack=2 Win=4236 Len=0,,,,,,,,,
125,60.159083,93.184.216.34,192.168.100.41,TCP,54,"80  >  52962 [FIN, ACK] Seq=1 Ack=2 Win=4236 Len=0",,,,,,,,,
126,65.164122,192.168.100.41,93.184.216.34,TCP,54,52962  >  80 [ACK] Seq=2 Ack=2 Win=64240 Len=0,,,,,,,,,
128,65.167331,192.168.100.41,93.184.216.34,TCP,66,52963  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,
129,65.167643,93.184.216.34,192.168.100.41,TCP,62,"80  >  52963 [SYN, ACK] Seq=0 Ack=1 Win=4236 Len=0 MSS=1412 SACK_PERM=1",,,,,,,,,
130,65.16861,192.168.100.41,93.184.216.34,TCP,54,52963  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0,,,,,,,,,
